employee name,date,otherinfotoprint
JANE SMITH,2024-11-25,Payslip for JANE SMITH|Job Title: LECTURER ASSISTANT|Scale Point: 2|Net Salary: 250.00|Deductions: 61.25|Gross Salary: 250.00
TOM SAYER,2024-11-25,Payslip for TOM SAYER|Job Title: EXECUTIVE ADMINISTRATOR|Scale Point: 3|Net Salary: 49360.00|Deductions: 15292.80|Gross Salary: 49360.00
CHARLEY BROWN,2024-11-25,Payslip for CHARLEY BROWN|Job Title: FULL PROFESSOR|Scale Point: 3|Net Salary: 156042.00|Deductions: 72741.84|Gross Salary: 156042.00
JOHN DOE,2024-11-25,Payslip for JOHN DOE|Job Title: PROFESSOR|Scale Point: 3|Net Salary: 115107.00|Deductions: 51455.64|Gross Salary: 115107.00
TOM SAYER,2023-10-25,Payslip for TOM SAYER|Job Title: EXECUTIVE ADMINISTRATOR|Scale Point: 3|Net Salary: 49360.00|Deductions: 15292.80|Gross Salary: 49360.00
CHARLEY BROWN,2023-7-25,Payslip for CHARLEY BROWN|Job Title: FULL PROFESSOR|Scale Point: 3|Net Salary: 156042.00|Deductions: 72741.84|Gross Salary: 156042.00
JOHN DOE,2024-11-26,Payslip for JOHN DOE|Job Title: PROFESSOR|Scale Point: 3|Net Salary: 115107.00|Deductions: 51455.64|Gross Salary: 115107.00
JOHN DOE,2024-11-26,Payslip for JOHN DOE|Job Title: PROFESSOR|Scale Point: 3|Net Salary: 115107.00|Deductions: 51455.64|Gross Salary: 115107.00
TOM SAYER,2024-11-26,Payslip for TOM SAYER|Job Title: EXECUTIVE ADMINISTRATOR|Scale Point: 3|Net Salary: 49360.00|Deductions: 15292.80|Gross Salary: 49360.00
CHARLEY BROWN,2024-11-26,Payslip for CHARLEY BROWN|Job Title: FULL PROFESSOR|Scale Point: 3|Net Salary: 156042.00|Deductions: 72741.84|Gross Salary: 156042.00
HOLLY WEBB,2024-11-26,Payslip for HOLLY WEBB|Job Title: DEMO ASSISTANT|Scale Point: 2|Net Salary: 0.00|Deductions: 0.00|Gross Salary: 0.00
